timestamp,raw_value,attention,label
1644694647.8658903,68,61,0
1644694647.8678267,74,61,0
1644694647.8719234,74,61,0
1644694647.8728228,76,61,0
1644694647.873873,81,61,0
1644694647.874807,75,61,0
1644694647.87785,65,61,0
1644694647.880078,56,61,0
1644694647.881016,57,61,0
1644694647.8851767,58,61,0
1644694647.8861327,57,61,0
1644694647.8881352,51,61,0
1644694647.8911266,43,61,0
1644694647.8931136,49,61,0
1644694647.8941271,56,61,0
1644694647.8951087,52,61,0
1644694647.8993452,49,61,0
1644694647.9003263,42,61,0
1644694647.901095,36,61,0
1644694647.9020905,34,61,0
1644694647.9053833,38,61,0
1644694647.9070778,50,61,0
1644694647.9114144,53,61,0
1644694647.9130635,50,61,0
1644694647.91616,53,61,0
1644694647.9172072,56,61,0
1644694647.918236,53,61,0
1644694647.9202027,52,61,0
1644694647.921199,55,61,0
1644694647.9221992,50,61,0
1644694647.9241915,42,61,0
1644694647.9272008,44,61,0
1644694647.9293578,50,61,0
1644694647.9305024,49,61,0
1644694647.9345512,43,61,0
1644694647.9356253,42,61,0
1644694647.9368582,53,61,0
1644694647.9385767,60,61,0
1644694647.9395359,54,61,0
1644694647.9427917,45,61,0
1644694647.9440527,48,61,0
1644694647.9461093,60,61,0
1644694647.9481125,58,61,0
1644694647.9511468,48,61,0
1644694647.9521117,38,61,0
1644694647.9542992,26,61,0
1644694647.9564629,20,61,0
1644694647.9574583,16,61,0
1644694647.9605522,8,61,0
1644694647.9614654,10,61,0
1644694647.963642,22,61,0
1644694647.9670522,21,61,0
1644694647.9670522,18,61,0
1644694647.9939406,12,61,0
1644694647.9949343,6,61,0
1644694647.9959705,19,61,0
1644694647.9979308,44,61,0
1644694648.0009573,52,61,0
1644694648.0009573,37,61,0
1644694648.0019164,24,61,0
1644694648.0019164,24,61,0
1644694648.0019164,40,61,0
1644694648.0019164,57,61,0
1644694648.0019164,50,61,0
1644694648.0019164,35,61,0
1644694648.0029132,35,61,0
1644694648.0029132,45,61,0
1644694648.0029132,68,61,0
1644694648.003911,74,61,0
1644694648.0049078,61,61,0
1644694648.0089011,43,61,0
1644694648.0099387,19,61,0
1644694648.0099387,7,61,0
1644694648.010972,16,61,0
1644694648.012928,22,61,0
1644694648.013974,33,61,0
1644694648.0158792,44,61,0
1644694648.020045,68,61,0
1644694648.0210018,92,61,0
1644694648.0229976,114,61,0
1644694648.0239942,128,61,0
1644694648.024991,124,61,0
1644694648.0269883,122,61,0
1644694648.0299773,119,61,0
1644694648.0309737,123,61,0
1644694648.0319731,140,61,0
1644694648.0339694,155,61,0
1644694648.036111,168,61,0
1644694648.0380943,186,61,0
1644694648.0400512,204,61,0
1644694648.0410478,211,61,0
1644694648.044091,198,61,0
1644694648.0460742,188,61,0
1644694648.0480301,189,61,0
1644694648.0500627,156,61,0
1644694648.0510612,121,61,0
1644694648.054015,115,61,0
1644694648.0550125,93,61,0
1644694648.0580018,74,61,0
1644694648.0589986,87,61,0
